7cf0bbe434;1;alle;28,26,33,43,6,13,31
62f5cf2694;2;alle;44,11,16,34,22,4,8,18,5
90e362d09c;3;alle;24,2,25,34,21,39,15,11,16,4,8,23,52
055389671a;3;alle;24,2,25,34,21,39,15,11,16,4,8,23,52
fa7f4d5bd6;3;alle;24,2,25,34,21,39,15,11,16,4,8,23,52
bbcfd051bc;4;alle;4,11,44,34,21,20,16,45,51
421dd113cb;4;alle;4,11,44,34,21,20,16,45,51
bf85fc11c0;6;alle;31,33,10,7,42,43,47
e4789d9d54;6;alle;31,33,10,7,42,43,47
8a7957fac3;7;alle;26,28,37,43,13,33,48,46,9
463540b21d;11;alle;7,47,31,10,42,6,43
28acab6ecd;12;alle;2,15,12,8,40,17,22
cba48aa01c;13;alle;16,11,4,34,39,21,44,20,5,15,8
4b56f32544;13;alle;16,11,4,34,39,21,44,20,5,15,8
b671ac3ed0;13;alle;16,11,4,34,39,21,44,20,5,15,8
b2ffd99745;14;alle;22,44,20,8,41,39,1,18,9,11,45,51
0ba4387a9b;15;alle;31,47,42,6,10,43,7
f0bba7f157;15;alle;31,47,42,6,10,43,7
cf0ce75243;16;alle;2,15,16,21,20,22,18,48,28,9,46,4,30,17
5af448647d;16;alle;2,15,16,21,20,22,18,48,28,9,46,4,30,17
a6d02ec6f1;17;laege;25,23,52,24,19,4,11
60558df3f3;17;laege;25,23,52,24,19,4,11
feecee7ea5;18;alle;31,10,42,47,7,33,43,6
4fcd360eef;19;alle;3,4,11,19,21,34,39,18,51,41,44,16
ff3f6bee6c;19;alle;3,4,11,19,21,34,39,18,51,41,44,16
87ca3bebe9;20;alle;21,39,44,34,19,16,20
476a4df416;21;laege;5,38,29,39,22,35,21,50
635b5baa2a;22;laege;39,11,21,24,23,25,52,5,38,51
891397ca9d;23;laege;39,25,19,11,4,23,24,52,44,21,38
3c6f08ffe8;24;laege;23,24,25,52,44,21,39,17,11,4,20,38,34
1f024966a9;24;laege;23,24,25,52,44,21,39,17,11,4,20,38,34
f536ce7f6f;25;alle;33,43,6,31,7,11,4,42
9bce2d9145;25;alle;33,43,6,31,7,11,4,42
958594be27;25;alle;33,43,6,31,7,11,4,42
1fa6bc733b;26;alle;14,29,48,50,20,41,19,1,3,46,51,27
91a803db06;26;alle;14,29,48,50,20,41,19,1,3,46,51,27
02802713f1;26;alle;14,29,48,50,20,41,19,1,3,46,51,27
7f617322d9;27;alle;21,20,34,39,17,11,16,18,49
31973f82ac;28;alle;12,16,17,40,44,34,20,21,8,15,11
59618000be;29;alle;12,2,15,8,17,20,21
e3a696da15;30;alle;10,42,7,31,47,6,33
d89578662f;30;alle;10,42,7,31,47,6,33
a5533702a9;32;alle;21,34,44,4,11,39,41,51
9695396e8c;33;alle;21,34,44,4,11,39,41,51
ac70d0d24f;34;alle;11,45,21,39,49,18,44
0a526f0b73;35;alle;42,31,7,10,47,33,6,43
23b99a96ee;36;laege;5,29,38,21,25,11,52,23,20,24,39,45
fe59757814;37;alle;26,28,13,29,32,14,1,30,9,37
9ce2198450;38;alle;12,2,15,22,8,40,17
5387080ac7;39;alle;15,2,12,17,22,8,40
b04ef12e9a;40;alle;8,12,21,22,15,2,17
a5c08e5c1a;41;alle;31,7,10,42,6,47,33
2aa3b9a391;41;alle;31,7,10,42,6,47,33
297b9e1c93;42;alle;31,7,10,47,42,6,33
a3ff8f775d;43;alle;3,18,51,11,44,45,21,34
7fa7c3b87e;44;alle;7,10,42,31,47,6,43,33
ee3bb537ba;44;alle;7,10,42,31,47,6,43,33
894a1b590d;45;alle;11,39,21,34,4,44,18,45
acd9bf5d84;45;alle;11,39,21,34,4,44,18,45
87616364c5;46;alle;42,31,7,10,47,33,6,43
0cc04631ef;48;alle;16,11,20,44,34,51,4,18,21,39,41,3,19,27,36,45
d69f552628;49;alle;33,43,6,50,12,26,28
44749a45f5;49;alle;33,43,6,50,12,26,28
ff6b4049b2;50;alle;29,5,13,32,30,14,1,51,15,48,46,9,35,37
2e0195c460;51;alle;28,26,13,14,50,37,43
40052bc602;52;alle;10,31,47,7,42,6,33
4dffe3d498;53;alle;41,11,19,20,5,44,16,18,51
3dd389f763;54;laege;24,23,25,52,39,21,11,45,15
4b3f38a792;55;alle;16,21,11,49,39,34,45
8d56a93d81;56;alle;19,44,16,51,18,21,41,11,8,17,20,30,38,9
ef530e9d77;57;alle;22,8,15,40,12,2,17,18,9
9b87ead8b5;58;alle;33,31,6,26,28,7,10,42
13555b584d;59;alle;2,15,21,34,29,18,38,39
d7404a2211;60;alle;42,10,31,7,47,3,33,43
acc8005213;61;alle;26,37,28,13,48,43,14,9
8464d5860d;62;alle;8,12,17,16,18,3,15
a1812a81d9;63;alle;31,6,33,26,28,10,29
23353ae8c4;64;alle;15,2,12,17,8,11,21,22,39,48,44,16,20,40,34
9a2673cc42;64;alle;15,2,12,17,8,11,21,22,39,48,44,16,20,40,34
4385bfb3f9;64;alle;15,2,12,17,8,11,21,22,39,48,44,16,20,40,34
4433a2b0b3;65;alle;20,39,11,21,4,44,51,45,34
beb1acc826;66;alle;51,4,19,44,21,20,18,39,3
0df94228de;67;laege;51,24,8,52,39,34,23,25,21
2ebbf1a13f;68;alle;21,4,44,34,20,17,18,3
310878979a;69;alle;31,10,42,43,47,6,7
11f35c3c26;70;alle;33,6,43,31,10,29,26
7f6144e613;72;alle;12,2,15,22,17,8,40
810ca10b8c;73;alle;15,40,12,2,8,22,48
42a831f2b1;74;alle;14,29,48,46,13,32,30,49
